# ข้อความระบบการต่อสู้ + คำอธิบายเอฟเฟกต์  (298 รายการไม่ซ้ำ)

[0x49783d]	JP received!
[0x49dc82]	With the magic judge
on vacation, magic
cards are cheap!
---
[0x49dcec]	Low prices on copycat
cards to commemorate
national mime day!
---
[0x49dd66]	Combo cards cheap
while the combo laws
are being revised!
---
[0x49ddd4]	Heal cards cheap for
all you white mages
out there!
---
[0x49de3e]	A weapon collector
just sold his stock.
Weapon cards cheap!
---
[0x49deaa]	Status cards cheap
now that malboro
season's ending.
---
[0x49df16]	The palace is pushing
for racial equality.
Cheap Dmg cards!
---
[0x49df90]	I've perfected my
technique! Discounts
on rare cards!
---
[0x49e002]	The combat guild is
driving up prices on
combat cards, sorry.
---
[0x49e07a]	With finals coming up
at Cadoan Academy,
magic cards are hot.
---
[0x49e106]	The "Neighbors" are
driving up target
area card prices.
---
[0x49e178]	The judges have a new
system for figuring
damage--watch out!
---
[0x49e1f6]	Stricter weapon laws
mean higher prices
on weapon cards.
---
[0x49e254]	Status cards are up.
Someone "slowed" the
prince's horse.
---
[0x49e2ca]	Love and peace are
rampant. Now dmg
card prices are up.
---
[0x49e33b]	crackdown!
Rare cards'll be
going up in price.
---
[0x49e3ab]	,
I got a favor to
ask of you.
---
[0x49e416]	One of my friends
is starting a
resistance movement.

Fighting against the
laws, and all that.
I want you to help.

I'll put a request
up at the pub.
---
[0x49e506]	I had a great idea
yesterday for a super
powerful antilaw!

I was wondering if
you could gather the
necessary materials?
---
[0x49e5d8]	No problem! Just put
a mission request up
at the pub.
---
[0x49e822]	Welcome to the
monster bank.
How may I help you?
---
[0x49e888]	Welcome to
monster bank.
Your monster awaits!
---
[0x49e8e0]	How may I help you?
[0x49e90c]	You have to "Capture"
a monster before
you can raise it!
---
[0x49e980]	Raise your monster
to be a good little
monster!
---
[0x49ea2e]	Are you sure? It
won't ever come back!
Yes
---
[0x49ea88] x2	No
[0x49eade]	Come back to visit
any time!
---
[0x49eb1e]	Understood. I'll keep
it here for now.
---
[0x49ebf4]	It seems to like
that quite a lot!
---
[0x49ec40]	It seems to be
enjoying it!
---
[0x49ede0]	!!
Please, help us find
our escaped monsters!

I'll put up a
request at the pub!
---
[0x49ee80]	Hello, .
Have you tried
linking yet?

If you link, you can
team up and trade
with other clans!

Every clan you team
up with becomes a
"support clan."

Team up with as
many clans as
you can!
---
[0x49ef7e]	Welcome back,
. Here
to do some linking?
---
[0x49f004]	Hold on, I'll look
for a clan to join
you on a mission.
---
[0x49f074]	Ah, a new clan!
Clan
wants to join you.

I'll put them on
your list. Now,
choose a mission.
---
[0x49f12a]	Clan
will help you.
Choose a mission!
---
[0x49f180]	You'll be helping
Clan for
the first time!

I'll put them on
your list. Wait for
your mission...
---
[0x49f28e]	I can't find any
clans for you to
team up with.
---
[0x49f2f6]	There doesn't seem
to be any good
missions. Try later.
---
[0x49f36a]	Is this the mission
you want to go on?
YesNo
---
[0x49f3c8]	Mission selected!
Check it out and
hit "OK" to confirm.
---
[0x49f43a]	OK, you're all set.
Good luck on your
mission!
---
[0x49f60a] x2	Hang on, I'll see if
I can find a clan
to trade with you.
---
[0x49f680]	A new clan! Clan
 will
trade with you.

I'll put them on
your list. What do
you want to trade?
---
[0x49f724]	Clan is
interested. What do
you want to trade?
---
[0x49f78a] x2	I can't find any
clans to trade with
you. Try later.
---
[0x49f882] x2	Trade fee received.
Wait for the other
party to confirm...
---
[0x49f9cc]	A new clan! Clan
 will
trade with you.

I'll put them on
your list. Who do
you want to trade?
---
[0x49fa70]	Clan is
interested. Who do
you want to trade?
---
[0x49fb46]	You can't trade
someone who's
not here right now.
---
[0x49fd62]	You can't carry
any more items! Go
lighten your load!
---
[0x49fe2c]	I have to save
your game when
you link.

Eh? You don't have
any save data!

Go save and come back.
---
[0x49fec6]	I have to save
your game when
you link.

You might want to
go ahead and save
now.
---
[0x49ff50]	Welcome back.
I'll save your
mission results now.
---
[0x49ffba]	Hey, you don't have
enough gil to pay
your trade fee!
---
