# ชื่อสุ่มสมาชิกแคลน/NPC  (571 รายการไม่ซ้ำ)

[0x567001]	Brown
[0x5673a7]	Iona
[0x5673ad]	Iliana
[0x5673b5]	Erma
[0x5673bb]	Elaine
[0x5673c3]	Ingrid
[0x5673cb]	Virginia
[0x5673d5]	Viola
[0x5673dc]	Edda
[0x5673e2]	Etoile
[0x5673ea]	Eponine
[0x5673f3]	Erika
[0x5673fa]	Elma
[0x567400]	Elayne
[0x567408]	Elena
[0x56740f]	Aurelie
[0x567418]	Odette
[0x567420]	Undine
[0x567428]	Gertrude
[0x567432]	Katarina
[0x56743c]	Cassandra
[0x567447] x2	Katie
[0x56744e]	Katejina
[0x567458]	Catrine
[0x567461]	Camilla
[0x56746a]	Caroline
[0x567474]	Kiana
[0x56747b]	Kim
[0x567480]	Catherine
[0x56748b]	Karin
[0x567492]	Candice
[0x56749b]	Gwyneth
[0x5674a4]	Gelazela
[0x5674ae]	Grisanbela
[0x5674ba]	Cristine
[0x5674c4]	Clementina
[0x5674d7]	Kelly
[0x5674de]	Gelda
[0x5674e5]	Corelie
[0x5674ee]	Colleen
[0x5674f7]	Colette
[0x567500]	Concetta
[0x56750a]	Saskia
[0x567512]	Sabina
[0x56751a]	Xia
[0x56751f]	Jeanne
[0x567527]	Shelly
[0x56752f]	Sheryl
[0x567537]	Sharon
[0x56753f]	Cici
[0x567545]	Cecille
[0x56754e]	Sis
[0x567553]	Sybil
[0x56755a]	Jacqulin
[0x567564]	Janeth
[0x56756c]	Shanon
[0x567574]	Jocie
[0x56757b]	Gillian
[0x567584]	Swena
[0x56758b]	Suzanna
[0x567594]	Sesily
[0x56759c]	Cecile
[0x5675a4]	Serina
[0x5675ac]	Thelma
[0x5675b4]	Sonja
[0x5675bb]	Sonia
[0x5675c2]	Soraya
[0x5675ca]	Diane
[0x5675d1]	Dana
[0x5675d7]	Tamara
[0x5675df]	Dalia
[0x5675e6]	Daryle
[0x5675ee]	Darcie
[0x5675f6]	Chiko
[0x5675fd]	Chareen
[0x567606]	Cecelia
[0x56760f]	Diana
[0x567616]	Tina
[0x56761c]	Tifone
[0x567624]	Tinfany
[0x56762d]	Tia
[0x567632]	Della
[0x567639]	Delia
[0x567640]	Delphine
[0x56764a]	Telma
[0x567651]	Teresya
[0x56765a]	Dusya
[0x567661]	Tonya
[0x567668]	Dora
[0x56766e]	Tosca
[0x567675]	Trixie
[0x56767d]	Trudy
[0x567684]	Natalia
[0x56768d]	Nana
[0x567693]	Nanette
[0x56769c]	Nan
[0x5676a1]	Nieve
[0x5676a8]	Nicole
[0x5676b0]	Nina
[0x5676b6]	Nelly
[0x5676bd]	Norma
[0x5676c4]	Noleen
[0x5676cc]	Bertha
[0x5676d4]	Pat
[0x5676d9]	Babette
[0x5676e2]	Hariette
[0x5676ec]	Bianka
[0x5676f4]	Vivian
[0x5676fc]	Hilary
[0x567704]	Hildegard
[0x56770f]	Viana
[0x567716]	Pheobe
[0x56771e]	Fio
[0x567723]	Blanch
[0x56772b]	Francheska
[0x567737]	Frida
[0x56773e]	Prisya
[0x567746]	Flora
[0x56774d]	Beatrice
[0x567757]	Hazel
[0x56775e]	Becile
[0x567766]	Betti
[0x56776d]	Bela
[0x567773]	Bonita
[0x56777b]	Polly
[0x567782]	Pauline
[0x56778b]	Martha
[0x567793]	Marcy
[0x56779a]	Marjorie
[0x5677a4]	Mila
[0x5677aa]	Madeline
[0x5677b4]	Madrine
[0x5677bd]	Mariette
[0x5677c7]	Marielle
[0x5677d1]	Marion
[0x5677d9]	Marisa
[0x5677e1]	Malta
[0x5677e8]	Mareen
[0x5677f0]	Mallory
[0x5677f9]	Mikella
[0x567802]	Miserie
[0x56780b]	Miriam
[0x567813]	Milly
[0x56781a]	Mua
[0x56781f]	Maryane
[0x567828]	Melissa
[0x567831]	Meryl
[0x567838]	Mel
[0x56783d]	Melora
[0x567845]	Maude
[0x56784c]	Molly
[0x567853]	Eunice
[0x56785b]	Euphem
[0x567863]	Eudit
[0x56786a]	Eustine
[0x567873]	Julianne
[0x56787d]	Laura
[0x567884]	Lana
[0x56788a]	Labinya
[0x567893]	Larisa
[0x56789b]	Lisa
[0x5678a1]	Liza
[0x5678a7]	Richane
[0x5678b0]	Lita
[0x5678b6]	Lilila
[0x5678be]	Louize
[0x5678c6]	Luise
[0x5678cd]	Lucretia
[0x5678d7]	Lutia
[0x5678de]	Lune
[0x5678e4]	Leona
[0x5678eb]	Regina
[0x5678f3]	Lesley
[0x5678fb]	Laetitia
[0x567905]	Roxanne
[0x56790e]	Rosaline
[0x567918]	Rosetta
[0x567921]	Lotte
[0x567928]	Loraine
[0x567931]	Loren
[0x567938]	Loretta
[0x567941]	Wanda
[0x567948]	Asalului
[0x567952]	Ashvin
[0x56795a]	Asnan
[0x567961]	Astalte
[0x56796a]	Atagra
[0x567972]	Atalcais
[0x56797c]	Atena
[0x567983]	Adoloa
[0x56798b]	Bencia
[0x567993]	Amotten
[0x56799c]	Alaune
[0x5679a4]	Arigan
[0x5679ac]	Alurata
[0x5679b5]	Idigina
[0x5679be]	Imana
[0x5679c5]	Iratik
[0x5679cd]	Ilcarna
[0x5679d6]	Viktranki
[0x5679e1]	Virr
[0x5679e7]	Vodan
[0x5679ee]	Wonimy
[0x5679f6]	Ulash
[0x5679fd]	Edbold
[0x567a05]	Ehekart
[0x567a0e]	Elgarel
[0x567a17]	Hoanes
[0x567a1f]	Ocylth
[0x567a27]	Omittek
[0x567a30]	Oro
[0x567a35]	Olorun
[0x567a3d]	Gauda
[0x567a44]	Kaikirith
[0x567a4f]	Kadesh
[0x567a57]	Ganesh
[0x567a5f]	Kafra
[0x567a66]	Kamsotz
[0x567a6f]	Camose
[0x567a77]	Karus
[0x567a7e]	Cantazen
[0x567a88]	Kiun
[0x567a8e]	Givil
[0x567a95]	Kimereth
[0x567a9f]	Quintos
[0x567aa8]	Qusjil
[0x567ab0]	Cutred
[0x567ab8]	Kudhos
[0x567ac0]	Gunaith
[0x567ac9]	Kubela
[0x567ad1]	Kumulul
[0x567ada]	Grussa
[0x567ae2]	Grude
[0x567ae9]	Kunwolf
[0x567af2]	Geogioth
[0x567afc]	Kemosh
[0x567b04]	Kelnoth
[0x567b0d]	Koyashalk
[0x567b18]	Corrigan
[0x567b22]	Colkholm
[0x567b2c]	Gordianus
[0x567b37]	Conz
[0x567b3d]	Satalan
[0x567b46]	Sadanu
[0x567b4e]	Zanaharti
[0x567b59]	Jedafler
[0x567b63]	Sinagelus
[0x567b6e]	Gibalou
[0x567b77]	Shapur
[0x567b7f]	Janowar
[0x567b88]	Chafrian
[0x567b92]	Jamasb
[0x567b9a]	Janjako
[0x567ba3]	Junaide
[0x567bac]	Subranch
[0x567bb6]	Shumakyr
[0x567bc0]	Julrat
[0x567bc8]	Singfels
[0x567bd2]	Snevil
[0x567bda]	Smeldith
[0x567be4]	Sewels
[0x567bec]	Ceurin
[0x567bf4]	Celured
[0x567bfd]	Sekmet
[0x567c05]	Skondot
[0x567c0e]	Sekbuf
[0x567c16]	Smagur
[0x567c1e]	Semiram
[0x567c27]	Senwulf
[0x567c30]	Soaemis
[0x567c39]	Zorya
[0x567c40]	Zogidanus
[0x567c4b]	Tauslet
[0x567c54]	Tafmasib
[0x567c5e]	Tamiel
[0x567c66]	Dammuna
[0x567c6f]	Demkina
[0x567c78]	Tamus
[0x567c7f]	Taranis
[0x567c88]	Tangarol
[0x567c92]	Dandreen
[0x567c9c]	Tanmus
[0x567ca4]	Chimarma
[0x567cae]	Chemfei
[0x567cb7]	Chantiko
[0x567cc1]	Chrakera
[0x567ccb]	Thalias
[0x567cd4]	Titos
[0x567cdb]	Tiridates
[0x567ce6]	Tiero
[0x567ced]	Deumus
[0x567cf5]	Teshona
[0x567cfe]	Demenche
[0x567d08]	Dwarti
[0x567d10]	Dwegol
[0x567d18]	Tothark
[0x567d21]	Tontiuh
[0x567d2a]	Dometra
[0x567d33]	Toraman
[0x567d3c]	Trulloch
[0x567d46]	Dorguk
[0x567d4e]	Trezond
[0x567d57]	Nageeta
[0x567d60]	Natariel
[0x567d6a]	Nafhsa
[0x567d72]	Namtar
[0x567d7a]	Nalaf
[0x567d81]	Nechozim
[0x567d8b]	Nineri
[0x567d93]	Ningilth
[0x567d9d]	Nuria
[0x567da4]	Nudimt
[0x567dac]	Numashda
[0x567db6]	Nestor
[0x567dbe]	Nehbkha
[0x567dc7]	Nelgal
[0x567dcf]	Noran
[0x567dd6]	Baul
[0x567ddc]	Haidar
[0x567de4]	Bacileus
[0x567dee]	Batazes
[0x567df7]	Hashepsto
[0x567e02]	Hanish
[0x567e0a]	Bafram
[0x567e12]	Balgrula
[0x567e1c]	Balmin
[0x567e24]	Prole
[0x567e2b]	Helpsal
[0x567e34]	Herbatius
[0x567e3f]	Fafira
[0x567e47]	Farbazos
[0x567e51]	Femakk
[0x567e59]	Flautus
[0x567e62]	Frakan
[0x567e6a]	Brigird
[0x567e73]	Pripega
[0x567e7c]	Frella
[0x567e84]	Prova
[0x567e8b]	Propus
[0x567e93]	Petruka
[0x567e9c]	Pragera
[0x567ea5]	Helishev
[0x567eaf]	Belmuut
[0x567eb8]	Horemev
[0x567ec1]	Horks
[0x567ec8]	Hormezd
[0x567ed1]	Brontik
[0x567eda]	Manjat
[0x567ee2]	Malegant
[0x567eec]	Magreni
[0x567ef5]	Masyness
[0x567eff]	Belarbree
[0x567f0a]	Charini
[0x567f13]	Drisnil
[0x567f1c]	Faeryl
[0x567f24]	Isotriv
[0x567f2d]	Hjalavar
[0x567f3d]	Mlezzire
[0x567f47]	Pharne
[0x567f4f]	Rostak
[0x567f57]	Telenna
[0x567f60]	Vrinn
[0x567f67]	Xarann
[0x567f6f]	Selkar
[0x567f77]	Elkantin
[0x567f81]	Guldos
[0x567f89]	Rilran
[0x567f91]	Talin
[0x567f98]	Laele
[0x567f9f]	Tebryn
[0x567fa7]	Molag
[0x567fae]	Yarafac
[0x567fb7]	Yasdelg
[0x567fc0]	Yarvon
[0x567fc8]	Yalosraf
[0x567fd2]	Durdyna
[0x567fdb]	Yugurta
[0x567fe4]	Ranagarr
[0x567fee]	Xulark
[0x567ff6]	Yodokus
[0x567fff]	Jorquat
[0x568008]	Ravenchy
[0x568012]	Rakim
[0x568019]	Rasksas
[0x568022]	Ramuman
[0x56802b]	Rakoner
[0x568034]	Rangi
[0x56803b]	Liborus
[0x568044]	Leomel
[0x56804c]	Ryudoma
[0x568055]	Fures
[0x56805c]	Llybophi
[0x568066]	Lukalan
[0x56806f]	Ruvet
[0x568076]	Rugapand
[0x568080]	Rutinde
[0x568089]	Ludora
[0x568091]	Laymon
[0x568099]	Rechef
[0x5680a1]	Lenatos
[0x5680aa]	Leneneut
[0x5680b4]	Romuel
[0x5680bc]	Loa
[0x5680c1]	Rokvin
[0x5680c9]	Roschefra
[0x5680d4]	Romark
[0x568c33]	Loser
[0x568c40]	Cheater
[0x568c51]	Cheap
[0x568c85]	Explorer
[0x568c98]	Master
[0x568ca7]	Peerless
[0x568cba]	Super
[0x568cc7]	Riskbreaker
[0x568ce0]	Jamagus
[0x568cf1]	Meister
[0x568d02]	Defthand
[0x568d15]	Godeye
[0x568d24]	Trufflenose
[0x568d3d]	Negotiator
[0x568d54]	Wyrmkiller
[0x568d6b]	Adventurer
[0x568d9b]	Expert
[0x568daa]	Warmaster
[0x568dbf]	Gamagus
[0x568dd0]	Mastersmith
[0x568de9]	Goldhand
[0x568dfc]	Trueeye
[0x568e0d]	Strawnose
[0x568e22]	Counselor
[0x568e37]	Bearkiller
[0x568e4e]	Traveler
[0x568e78]	Intermediate
[0x568e93]	Commander
[0x568ea8]	Ramagus
[0x568eb9]	Blacksmith
[0x568ed0]	Silverhand
[0x568ee7]	Cleareye
[0x568efa]	Funginose
[0x568f0f]	Know-it-all
[0x568f28]	Shepherd
[0x568f3b]	Squire
[0x568f5d]	Beginner
[0x568f70]	Warrior
[0x568f81]	Amagus
[0x568f90]	Craftsman
[0x568fa5]	Copperhand
[0x568fbc]	Squinteye
[0x568fd1]	Reednose
[0x568fe4]	Taleteller
[0x568ffb]	Ratcatcher
[0x569012]	Dreamer
[0x56fc5b]	gh
