# ชื่อทักษะ/สกิล/ความสามารถ  (612 รายการไม่ซ้ำ)

[0x5541b7]	Turn Order
[0x555c6b]	Logos
[0x555c72]	Adrammalech
[0x555c7f]	Mateus
[0x555c87]	Ultima
[0x555c8f]	Exodus
[0x555c97]	Famfrit
[0x555ca0]	Abate
[0x555ca7] x2	Judge Sword
[0x555cbe]	Bind
[0x555cc4]	JP Gift
[0x555cd3]	Yellow Clip
[0x555d01]	Yellow Card
[0x555d18]	Palaistra
[0x555d38]	Blue Combo
[0x555d4d]	Red Combo
[0x555d60]	Hunt Combo
[0x555d75]	Knight Combo
[0x555d8e]	Pray Combo
[0x555da3]	Black Combo
[0x555dba]	Wise Combo
[0x555dcf]	Sacred Combo
[0x555de8]	Thief Combo
[0x555dff]	Killer Combo
[0x555e18]	Juggle Combo
[0x555e31]	Gun Combo
[0x555e44]	Defend Combo
[0x555e5d]	SummonCombo
[0x555e77]	White Combo
[0x555e8e]	Spirit Combo
[0x555ea7]	Combat Combo
[0x555ec0]	Sniper Combo
[0x555ed9]	Spell Combo
[0x555ef0]	Charge Combo
[0x555f09]	Fight Combo
[0x555f20]	Animal Combo
[0x555f39]	Time Combo
[0x555f4e]	Lunge Combo
[0x555f65]	Morph Combo
[0x555f7c]	Ninja Combo
[0x555f93]	Gadget Combo
[0x555fac]	Bow Combo
[0x555fbf]	Sword Combo
[0x555fd6]	Beast Combo
[0x555fed]	Monk Combo
[0x556002]	Dragon Combo
[0x55601b]	Gold Combo
[0x556030] x111	Dummy
[0x556339]	Sword
[0x556341]	Sharp Sword?
[0x55635a]	Bent Sword?
[0x556371]	Rusty Sword?
[0x55638a]	Big Sword?
[0x55639f]	Heavy Sword?
[0x5563c0]	Thin Sword?
[0x5563d7]	Blade
[0x5563df]	Old Staff?
[0x5563fa]	Heavy Club?
[0x556417]	Big Bow?
[0x556428]	Spear
[0x556430]	Instrument
[0x55643d]	Gloves
[0x556446]	Bauble
[0x55644f]	Rusty Gun?
[0x556464]	Shield
[0x55646d]	Rusty Helm?
[0x556484]	Old Cap?
[0x556495]	Armor
[0x55649d]	Clothes
[0x5564ae]	Boots
[0x5564b6]	Gauntlet
[0x5564c1]	Trinket
[0x5564d1]	Metal
[0x5564d9]	Status Down
[0x5564f0]	Monster Run
[0x556507]	Item Fine
[0x55651a]	Card Fine
[0x55652d]	AP Fine
[0x55653c]	EqpItem Fine
[0x556555]	Volunteer
[0x556560]	Gil Fine
[0x556571]	HP MAX
[0x55657e]	MP MAX
[0x5565c8]	Magic Res
[0x5565db]	Speed
[0x5565e2]	Gil
[0x5565e7]	No Award!
[0x5565fa]	No AP!
[0x556607]	No APAward!
[0x556620]	All Items!
[0x55669f]	No Abilities!
[0x5566ba]	Nothing
[0x5566c4]	No Monsters!
[0x5566dd]	Color Mode
[0x5566f2]	Cursor Type
[0x556709]	Cursor Spd
[0x55671e]	Message Spd
[0x556735]	Attack Name
[0x556752]	Judge Pts?
[0x556767]	NonEqpItems
[0x556775]	L BUTTON
[0x556786]	Default
[0x55678f]	LCD A
[0x55679a]	LCD B
[0x5567a5]	TV
[0x5567a9]	Type A
[0x5567b6]	Type B
[0x5567c3]	Fast
[0x5567c9]	Normal
[0x5567dd]	Quick
[0x5567e4]	ON
[0x5567e8]	OFF
