# ชื่อไอเทม/อาวุธ/ชุดเกราะ  (721 รายการไม่ซ้ำ)

[0x52336f]	Ahriman
[0x525565]	Cureall
[0x52556e]	Phoenix Down
[0x525587]	Magic Trophy
[0x5255a0]	Fight Trophy
[0x5255b9]	Sport Trophy
[0x5255d2]	Elda's Cup
[0x5255e7]	Ogma's Seal
[0x5255fe]	Gold Vessel
[0x525615]	Magic Medal
[0x52562c]	Ancient Medal
[0x525647]	Coast Medal
[0x52565e]	Guard Medal
[0x525675]	Friend Pin
[0x52568a]	Master Brave
[0x5256a3]	Badge
[0x5256aa]	Rainbowite
[0x5256b6]	Delta Fang
[0x5256cb]	Cat's Tears
[0x5256e2]	Dame's Blush
[0x5256fb]	Thunderstone
[0x525709]	Stormstone
[0x525715]	Esteroth
[0x52571f]	Ahriman Eye
[0x525736]	Wyrmstone
[0x525741]	Topaz Armring
[0x52575c]	Zodiac Ore
[0x525771]	Silvril
[0x52577a]	Materite
[0x525784]	Leestone
[0x52578e]	Adamantite
[0x52579a]	Spiritstone
[0x5257a7]	Amber
[0x5257ae]	Adaman Alloy
[0x5257c7]	Mysidia Alloy
[0x5257e2]	Crusite Alloy
[0x5257fd]	Lodestone
[0x525808]	Black Thread
[0x525821]	White Thread
[0x52583a]	Chocobo Skin
[0x525853]	Magic Cloth
[0x52586a]	Magic Cotton
[0x525883]	Blood Shawl
[0x52589a]	Ahriman Wing
[0x5258b3]	Fairy Wing
[0x5258c8]	Bomb Shell
[0x5258dd]	Panther Hide
[0x5258f6]	Tiger Hide
[0x52590b]	Jerky
[0x525912]	Gysahl Greens
[0x52592d]	Chocobo Egg
[0x525944]	Goldcap
[0x52594d]	Life Water
[0x525962]	Eldagusto
[0x52596d]	Cyril Ice
[0x525980]	Choco Bread
[0x525997]	Choco Gratin
[0x5259b0]	Kiddy Bread
[0x5259c7]	GrownupBread
[0x5259e3]	Malboro Wine
[0x5259fc]	Gedegg Soup
[0x525a13]	Ancient Text
[0x525a2c]	Magic Vellum
[0x525a45]	Justice Badge
[0x525a60]	Friend Badge
[0x525a79]	Runba's Tale
[0x525a92]	The Hero Gaol
[0x525aad]	Edaroya Tome
[0x525ac6]	Homework
[0x525ad0]	Encyclopedia
[0x525ade]	Dictionary
[0x525aea]	Monster Guide
[0x525b05]	Secret Books
[0x525b1e]	Sketchbook
[0x525b2a]	Stuffed Bear
[0x525b43]	Rat Tail
[0x525b54]	Rabbit Tail
[0x525b6b]	Danbukwood
[0x525b77]	Moonwood
[0x525b81]	Stradivari
[0x525b8d]	Clock Post
[0x525ba2]	Fountain Pen
[0x525bbb]	Earplugs
[0x525bc5]	Crystal
[0x525bce]	Old Statue
[0x525be3]	Neighbor Pin
[0x525bfc]	Trichord
[0x525c06]	Rusty Sword
[0x525c1d]	Broken Sword
[0x525c36]	Bent Sword
[0x525c4b]	Rusty Spear
[0x525c62]	Fire Sigil
[0x525c77]	Water Sigil
[0x525c8e]	Wind Sigil
[0x525ca3]	Earth Sigil
[0x525cba]	Mind Ceffyl
[0x525cd1]	Body Ceffyl
[0x525ce8]	Feather Badge
[0x525d03]	Insignia
[0x525d0d] x2	Ally Finder
[0x525d3d]	Tranquil Box
[0x525d56]	Loaded Dice
[0x525d6d]	Snake Shield
[0x525d86]	Stasis Rope
[0x525d9d]	Mythril Pick
[0x525db6]	Caravan Musk
[0x525dcf]	Love Potion
[0x525de6]	Tonberry Lamp
[0x525e01]	Stilpool Scroll
[0x525e20]	Flower Vase
[0x525e37]	Dragon Bone
[0x525e4e]	Animal Bone
[0x525e65]	Skull
[0x525e6c]	Helje Key
[0x525e7f]	Clock Gear
[0x525e94]	Gun Gear
[0x525ea5]	Sprinkler
[0x525eb0]	Silk Bloom
[0x525ec5]	Moon Bloom
[0x525eda]	Telaq Flower
[0x525ef3]	Blue Rose
[0x525f06]	White Flowers
[0x525f21]	Blood Apple
[0x525f38]	Magic Fruit
[0x525f4f]	Power Fruit
[0x525f66]	Vermillion
[0x525f72]	Stolen Gil
[0x525f87]	Ancient Bills
[0x525fa2]	Ancient Coins
[0x525fbd]	Skills
[0x525fc5]	Techniques
[0x525fd1]	Color Magic
[0x525fe8]	Chivalry
[0x525ff2]	Prayer
[0x525ffa]	Defend
[0x526002]	Elementals
[0x52600e]	Hunt
[0x526014]	Charge
[0x52601c]	Time Magic
[0x526031]	Aim
[0x526036]	Sharpshoot
[0x526042]	Gunmanship
[0x52604e]	Steal
[0x526055]	Corner
[0x52605d]	Control
[0x526066]	Morph
[0x52606d]	Call
[0x526073]	Summon
[0x52607b]	Items
[0x526082]	Fire
[0x526088]	Ice
[0x52608d]	Lightning
[0x526098]	Holy
[0x52609e]	Wind
[0x5260bc]	Ganging Up
[0x5260d1]	Full HP
[0x5260f1]	Copycat
[0x5260fa]	Fight
[0x526101]	Target Area
[0x526118]	Target All
[0x52612d]	Swords
[0x526135]	Blades
[0x52613d]	Sabers
[0x526145]	Knightswords
[0x526153]	Greatswords
[0x526160]	Broadswords
[0x52616d]	Knives
[0x526175]	Rapiers
[0x52617e]	Katanas
[0x526187]	Spears
[0x52618f]	Instruments
[0x52619c]	Knuckles
[0x5261a6]	Soul
[0x5261ac]	Missile
[0x5261b5]	Dark
[0x5261bb]	Staves
[0x5261c3]	Rods
[0x5261c9]	Maces
[0x5261d0]	Bare Hands
[0x52624e]	Healing
[0x526257]	Petrify
[0x526260]	Frog
[0x526266]	Poison
[0x52626e]	Confuse
[0x526277]	Berserk
[0x526280]	Silence
[0x526289]	Charm
[0x526290]	Bind
[0x526296]	Addle
[0x52629d]	Slow
[0x5262a3]	Stop
[0x5262a9]	Status
[0x5262b1]	Shell
[0x5262b8]	Protect
[0x5262c1]	Haste
[0x5262df]	Dmg— Bangaa
[0x5262f8]	Dmg— Nu Mou
[0x526328]	Dmg— Moogle
[0x526341]	Dmg— Animal
[0x52635a]	Law Cards
[0x52636d]	NoClr Magic
[0x526399] x6	R Antilaw
[0x526417]	Allmighty
[0x52644b]	Cyril
[0x526452]	Sprohm
[0x52645a]	Muscadet
[0x526464]	Cadoan
[0x52646c]	Baguba Port
[0x526483]	Nubswood
[0x52648d]	Giza Plains
[0x5264a4]	Kudik Peaks
[0x5264bb]	Uladon Bog
[0x5264d0]	Jeraw Sands
[0x5264e7]	Lutia Pass
[0x5264fc]	Koringwood
[0x526508]	Ulei River
[0x52651d]	Aisenfield
[0x526529]	Roda Volcano
[0x526542]	Eluut Sands
[0x526559]	Nargai Cave
[0x526570]	Salikawood
[0x52657c]	Delia Dunes
[0x526593]	Gotor Sands
[0x5265aa]	Ozmonfield
[0x5265b6]	Deti Plains
[0x5265cd]	Siena Gorge
[0x5265e4]	Materiwood
[0x5265f0]	Tubola Cave
[0x526607]	Jagd Dorsa
[0x52661c]	Jagd Helje
[0x526631]	Jagd Ahli
[0x526644]	Ambervale
[0x52664f]	Kingmoon
[0x526659]	Madmoon
[0x526662]	Sagemoon
[0x52666c]	Huntmoon
[0x526676]	Bardmoon
